timestamp,scenario_name,random_seed,mode,person_count,robot_x,robot_y,robot_yaw,goal_x,goal_y,distance_to_goal,cmd_linear,cmd_angular,min_distance_to_person,collision_count,dangerous_close_count,yolo_detection_count,yolo_miss_count,detector_fps,detector_latency_ms,fused_obstacle_count,high_risk_count,stop_count,replan_count,path_length,average_speed,navigation_time,success,failure_reason
1779865577.783,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2622,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,46.39,0,stuck
1779865577.883,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.3008,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,46.49,0,stuck
1779865577.983,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.3419,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,46.59,0,stuck
1779865578.083,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.3850,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,46.69,0,stuck
1779865578.183,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.3417,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,46.79,0,stuck
1779865578.283,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.3006,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,46.89,0,stuck
1779865578.383,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2620,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,46.99,0,stuck
1779865578.483,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2259,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,47.09,0,stuck
1779865578.583,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1922,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,47.19,0,stuck
1779865578.683,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1612,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,47.29,0,stuck
1779865578.783,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1327,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,47.39,0,stuck
1779865578.883,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1070,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,47.49,0,stuck
1779865578.983,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0839,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,47.59,0,stuck
1779865579.083,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0636,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,47.69,0,stuck
1779865579.183,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0460,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,47.79,0,stuck
1779865579.283,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0312,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,47.89,0,stuck
1779865579.383,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0193,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,47.99,0,stuck
1779865579.483,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0102,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,48.09,0,stuck
1779865579.583,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0040,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,48.19,0,stuck
1779865579.683,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0006,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,48.29,0,stuck
1779865579.783,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0002,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,48.39,0,stuck
1779865579.883,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0026,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,48.49,0,stuck
1779865579.983,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0078,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,48.59,0,stuck
1779865580.083,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0160,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,48.69,0,stuck
1779865580.183,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0270,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,48.79,0,stuck
1779865580.283,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0408,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,48.89,0,stuck
1779865580.383,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0575,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,48.99,0,stuck
1779865580.483,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0769,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,49.09,0,stuck
1779865580.583,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.0991,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,49.19,0,stuck
1779865580.683,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1240,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,49.29,0,stuck
1779865580.783,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1515,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,49.39,0,stuck
1779865580.883,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.1817,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,49.49,0,stuck
1779865580.983,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2145,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,49.59,0,stuck
1779865581.083,crossing_person,0,fusion_with_risk_avoidance,1,0.0000,0.0000,0.0000,6.00,0.00,6.0000,0.0000,0.0000,5.2499,0,0,0,0,0.0,0.0,0,0,0,0,0.0000,0.0000,49.69,0,stuck
